"X","Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM","Mean_CORR","High_Corr_Count"
43,"590_fri_c0_1000_50",1000,51,"S1",2,0.979171574373845,0.0290954083396692,0.0364909341680267,1357.94441290772,0.958569753491369,9,1613.40599999999,"sigmoid(sigmoid(x2*x1))","p0(sigmoid(x3))","x2*x1",1,1,1,0.0250759678270012,0
44,"591_fri_c1_100_10",100,11,"S1",2,0.735594295207265,0.10712893477043,0.145395476726343,31.1321673884713,0.454472608748422,9,491.161000000022,"sigmoid(x2)","sin_deg(x2)","x5",0.999999999999999,0.999999612878963,0.830515705960901,0.100477215451482,1
45,"592_fri_c4_1000_25",1000,26,"S1",2,0.988362891667662,0.0204066787506928,0.0266754795633732,1393.47484819486,0.976812304515264,22,1995.61600000001,"sigmoid((x2*x2)*x1)","((x2*x2)*x1)*cos_deg(x2)","(((x2*x2)*x1)*x2)*cos_deg(x2)",1,1,1,0.0481237920902837,2
46,"593_fri_c1_1000_10",1000,11,"S1",2,0.968957536145702,0.037846644725841,0.0486579568349779,1090.41541856176,0.937405713907439,14,1949.36499999999,"x1*sin_deg(x2)","cos_deg(x2)","cos_deg(cos_deg((x2*x1)*x2))",1,1,1,0.054043094964599,1
47,"594_fri_c2_100_5",100,6,"S1",2,0.682194846344208,0.13731749388403,0.173643284802,12.5833039549091,0.36406945601099,8,467.694000000018,"sin_deg(x2)","x2","sigmoid(x2)",0.999118978878056,0.823931704830476,0.735135052355952,0.312844707699979,1
48,"595_fri_c0_1000_10",1000,11,"S1",2,0.93747707029018,0.0548206364730657,0.0662875945521977,911.824743896764,0.877865075548097,5,1416.905,"x1*x2","sin_deg(x1*x2)","x5",1,1,0.999993205561208,0.020451902677856,0
49,"596_fri_c2_250_5",250,6,"S1",2,0.765658674144791,0.134174458460391,0.16480328677608,73.9498506476747,0.580940769006114,8,705.556000000011,"x4","sigmoid(x2)","sigmoid((x2*x2)*(x2*x2))",0.999999999996417,0.999849399971413,0.968222827732999,0.310290168005418,1
50,"597_fri_c2_500_5",500,6,"S1",2,0.696440826350832,0.123618291721351,0.149567539074618,82.3002113096009,0.476212215245889,9,1056.011,"sin_deg(x3)","x2","troot(x2)",0.999981809893937,0.999960406914534,0.971501184845693,0.294667706012778,1
51,"598_fri_c0_1000_25",1000,26,"S1",2,0.97577541548905,0.0349326010938095,0.0431276437646127,1297.18025877865,0.952083704467313,9,1538.88699999999,"x3","x5","x4",1,1,1,0.0260605029910167,0
52,"599_fri_c2_1000_5",1000,6,"S1",2,0.566462938242709,0.156543181314679,0.176276798653773,218.300890014324,0.315821859219205,9,1586.32999999999,"x5","sin_deg(x3)","x2",0.999999999999373,0.999999950105927,0.739999989015665,0.276608493752262,1
