"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S4",21,0.842858087902425,3.44303289536872,5.86483740127944,1641.392,"x1*sigmoid(x5*x13)","x11*x6","x11","x5*x6","x8"
"S5",21,0.891941851003416,2.88476942408194,4.55929542041027,1580.354,"(x6*x6)*x9","troot(x13*x9)","p0(x9)","x11","x13"
"S6",21,0.794904155887512,3.85114653774037,7.6725164151264,1507.766,"x1","x8","x10","x1*p3(sigmoid(x13))","x6*x10"
"S1",22,0.86750801895093,3.17772199410079,5.03359566302921,1724.765,"x11*p0(x13)","x6*x6","x11","x11*x6","x1"
"S2",22,0.863878545513734,3.17547520156363,5.30535561138179,1869.191,"x6","x9*x6","x9*sigmoid(x13)","x9*x13","x12"
"S3",22,0.876652326229698,2.90234048270135,5.02863967497125,1725.885,"x10*x6","x6","x10","x9*exp_dbl(x13)","x1"
"S4",22,0.807229138660288,3.78685919096365,7.37469717485779,1628.429,"x1*exp_dbl(x13)","p3(x6)*x10","p3(x6)","x13","x11"
"S5",22,0.865401010131105,3.16137170226174,5.04719942601849,1554.158,"x6*x11","x6*x6","p0(x13)","x1","x13*x8"
"S6",22,0.884943867274958,3.02452793905193,4.69444198974179,1591.966,"x11","x6*x9","x9","x6*x6","x1"
"S1",23,0.900544881797329,2.75066811847696,4.38097305595666,1996.811,"x9*p0(x13)","x9","p3(x6)","x6","x8"
"S2",23,0.811900682301003,3.73208919847313,7.23334515895915,2211.25,"x10*x6","exp_dbl(x13)*x1","x10","x13","x11"
"S3",23,0.87908886251959,2.8255451728933,4.83571568217198,1934.736,"x13*x9","x9*x6","x12","x6","x13*(sigmoid(x13)*x9)"
"S4",23,0.834058853747248,3.40781076369426,6.66696246183125,1985.029,"x10","x6*x10","x6","x1*sigmoid(x13)","x11"
"S5",23,0.820992184053822,3.74311563778424,6.85833568354675,1465.753,"x10","x1*exp_dbl(x13)","x6*x10","p3(x6)","x6"
"S6",23,0.832114293118054,3.42180976463722,6.46117150643108,1574.305,"x6","x10*sigmoid(x13)","x10","x11","x10*x13"
"S1",24,0.728544466598264,4.37947861208719,10.4638156954163,1900.07,"exp_dbl(x13*x8)","x13","x6*x11","x1","x12"
"S2",24,0.871235916054342,3.03173347684218,5.14900005640589,2013.887,"x13*x9","p3(x6)","x6*x9","x9*sigmoid(x13)","x11"
"S3",24,0.750210000406859,4.16707204512371,9.79027975084106,1830.509,"x11*x6","(x11*x6)*x13","x5","x13","x1"
"S4",24,0.869287286629575,3.03563628242148,5.14002084519964,1633.85,"x9*exp_dbl(x13)","x13*x10","x6*x10","x6*x6","x1"
"S5",24,0.820453352646058,3.60107476213577,6.74997271916789,1402.426,"x1*sigmoid(x13)","exp_dbl(x5)*p3(x6)","x11*x6","x5","x12"
"S6",24,0.819274309587255,3.5718563983048,6.9068643792588,1707.486,"x6*x6","x1*sigmoid(x13)","x10*x13","x10","x6*x10"
"S1",25,0.814806746065987,3.62423267651964,7.15852287841197,1525.458,"x1*x7","sigmoid(x13)*(x1*x7)","p3(x6)*((troot(x13)*x5)*(x6*x11))","p3(x6)","x8"
"S2",25,0.810487594388633,3.68004847854121,7.49171291726314,1853.612,"p3(x6)","x10*x13","x11","sigmoid(x13)*x1","x9*x6"
"S3",25,0.880401403739625,3.02138652922525,4.7829490704462,1625.039,"p0(x13)*x9","troot(x6)","x6","x6*(x9*x6)","x12"
"S4",25,0.813366724368601,3.59017393216754,6.93164719068069,1867.02,"x6*x6","exp_dbl(x13)*x1","x10*x6","x8","x12"
"S5",25,0.900552082725903,2.80192764114266,4.38544901246263,1356.942,"x5*(exp_dbl(troot(x13))*x9)","x1","p3(x5*(x11*x6))","p3(x6)","x9*p3(x6)"
"S6",25,0.824033987226141,3.55393270321861,6.9661939561371,1586.487,"x1*exp_dbl(x13)","(x13*x10)*x6","x9*(x11*x6)","x9","troot(x6)"
"S1",26,0.878388989673564,2.93242353072394,4.94087226214499,1783.917,"p3(x6)*x9","x11","exp_dbl(x13)*x9","x5","x9*x13"
"S2",26,0.889531059951761,2.94262280618978,4.60216551794486,1641.141,"x10*x6","x10*p0(x13)","x6","x11","x13"
"S3",26,0.799023101155214,3.77755853862102,6.97531009550028,1461.344,"x13","x1*x12","x12*(exp_dbl(exp_dbl(x13))*x1)","x6*x11","x12"
"S4",26,0.868281399526682,2.93659775216091,5.03083958997088,1769.208,"x13*x9","p3(x6)","(x13*x9)*sigmoid(x13)","x6*x9","x11"
"S5",26,0.865340943453109,3.08638473340632,5.27197163769893,1622.815,"p3(x6)*x9","x9","x9*sigmoid(x13)","p3(x6)","x13*x9"
"S6",26,0.897264343904791,2.82968727500674,4.45519246170591,1581.333,"p3(x6)","p3(x6)*x9","troot(p0(x13))*x9","p3(x11)","x8"
"S1",27,0.724401424462887,4.37027980471593,10.7800959381841,1769.796,"sigmoid(x8*x13)","x6*x13","x13","x11*x6","x1"
"S2",27,0.818880014007974,3.60055130299507,6.98899040293172,1742.061,"x1","x6*x10","x6*x6","sigmoid(x13)*x1","x11"
"S3",27,0.839141713146786,3.33032072358737,6.29074718958645,1813.615,"x6*x10","x13*x10","sigmoid(x13)*x10","p3(x6)","x9"
"S4",27,0.758302754776263,4.09885619528933,9.26980456053946,1739.927,"x13","x6*x10","sigmoid(x8*x13)","x10","x11"
"S5",27,0.887759652909299,2.86965316265893,4.64563024303133,1220.441,"x9","x12*p3(x6)","((x12*p3(x6))*x11)*x9","x11","x1"
"S6",27,0.898496284939584,2.85697465474954,4.41916939244057,1642.439,"(x9*x6)*(p0(x13)*x11)","p3(x6)","x9*p3(x6)","x9*x6","x7"
"S1",28,0.885974669619156,2.96045583311502,4.75410474897234,1973.501,"x6","x10*x6","troot(x13)*x10","x11","x13"
"S2",28,0.899104631329103,2.67344782151327,4.40640664451099,1911.501,"x10*(exp_dbl(troot(x13))*x10)","x11","x10*x6","x6","x1"
"S3",28,0.812436306124903,3.70628789694419,6.86152394729542,1783.251,"x10","x10*x6","x6*x6","x1*exp_dbl(x13)","x11"
"S4",28,0.830437633477823,3.48786788998829,6.43735331183607,1684.526,"x10","x10*x6","x1*sigmoid(1+x13)","x1","x13"
"S5",28,0.881379338841294,2.77029815319374,4.78562402130502,2067.646,"x9*x13","p3(x6)","p3(x6)*x9","sigmoid(x13)*(x9*x13)","x9"
"S6",28,0.803681104828836,3.73334748811948,7.24655452239733,1531.712,"x8","x1","x1*sigmoid(x13)","x13","troot(x6)"
"S1",29,0.898253389025708,2.70694355074991,4.42633384929056,1935.897,"troot(troot(x13))*x10","troot(x6)","x10*x6","x11","x1"
"S2",29,0.829151317823154,3.54692716354435,6.48136665899349,1812.459,"x1*exp_dbl(x13)","troot(x6)","x13","x1","x12"
"S3",29,0.786381229711378,4.05141394634847,8.20452448892521,1696.876,"x5*x13","x6*x11","x1","sigmoid(x13)","x1*sigmoid(x13)"
"S4",29,0.885475880974806,2.970065229606,4.68569757017216,1889.503,"x9","p3(x6)","x9*troot(sigmoid(troot(x13)))","p3(x6)*x9","x1"
"S5",29,0.896283281673964,2.74715525120281,4.47075026347788,1641.629,"x10","p3(x6)","p3(x6)*x10","(troot(x6)*x10)*p0(x13)","x8"
"S6",29,0.811389585717907,3.55476527080898,7.3906416454989,1576.029,"x13*(x9*x6)","x12*((x10*exp_dbl(x13))*x7)","x9*(x6*x6)","x11","x7"
"S1",30,0.879199409596893,2.99343145781619,4.81104090388656,1721.188,"x6*x10","p0(x13)*x10","x6*x6","x10","x9"
"S2",30,0.894303777848885,2.84618141807331,4.51260621514619,1879.665,"p0(x13)*x9","x6*x9","x1","x6*(x9*x6)","x10"
"S3",30,0.878569867054034,2.82910745855475,4.84561314170136,1883.278,"x9*x13","x9*(sigmoid(x13)*x13)","x11","x6*x9","x7"
"S4",30,0.906305540042478,3.03543224945992,4.25433353757007,1756.397,"x1","sigmoid(troot(x13)*x8)","x11","x13","x6*x6"
"S5",30,0.843248925191818,3.12800575089484,5.63282462683696,1558.209,"x6*x13","p3(exp_dbl(exp_dbl(x13)*x1))*x1","p3(x6)","x11","x6*(x10*p3(x6*x6))"
"S6",30,0.893313759615647,2.86026066848865,4.53740385064689,1458.648,"p3(x6)","p3(p3(x6))*x9","x9*exp_dbl(p0(x13))","x5","x1"
