"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",5,TRUE,FALSE,FALSE,FALSE,1,0.50221070672575,0.00442141345149907,0.0313366329913896,0.0343129854427079,-94.5244319535552,0.999960218729613,2,2144.587,"troot((x6*x4)*x4)","x10",NA,0.998117522233781,0.281711169430373,NA
"S2",5,FALSE,FALSE,FALSE,TRUE,3,0.455950644005501,0.27460121820056,0.0456330536682884,0.081449889004008,-94.3406692127019,0.999775847994184,4,2187.87599999999,"troot((x4*x7)*x4)","x2","x6",1,0.281546122394704,0.151302853392666
"S3",5,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0320912130366834,0.032950242000551,-94.5244319535552,0.99996331581685,2,2202.96999999997,"troot(x4*(x6*x4))","x4",NA,0.995356506265978,0.103158096689066,NA
"S4",5,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.032285420807828,0.0332398688904581,-94.5244319535552,0.999962668087428,1,2310.64799999999,"troot((x4*x6)*x4)",NA,NA,1,NA,NA
"S5",5,FALSE,FALSE,FALSE,FALSE,5,0.579313355345231,0.579313355345231,0.0458204525887979,0.0779962123957452,-100.733281436995,0.999794454173829,5,2172.25300000003,"x4*x7","x4","troot(x4*x4)",0.999999994364411,0.992617419910673,0.989833714916245
"S6",5,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389617426031324,0.0601857765734985,-96.7669448270558,0.999877609031056,2,2218.283,"troot(x4*x4)","x2*x4",NA,1,0.999999999996652,NA
"S1",6,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389872249909484,0.0612891493256893,-96.7669448270559,0.999873080362533,2,2088.77600000001,"troot(x4*x4)","x2*x4",NA,1,0.99999386228373,NA
"S2",6,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0438489480336963,0.0770493250061777,-94.3406692127019,0.999799414602846,2,2198.554,"troot(x4*(x7*x4))","x4",NA,1,0.17653885339983,NA
"S3",6,FALSE,FALSE,FALSE,FALSE,3,0.284002128515961,0.284002128515961,0.038253101246673,0.0597911839840937,-96.7669448270559,0.999879208620082,3,2305.56900000002,"troot(x4*x4)","x4*x2","x3",0.999999974350383,0.999958730058344,0.104391019250434
"S4",6,FALSE,FALSE,FALSE,TRUE,2,0.665759877520625,0.498640355570775,0.0446494911389028,0.0796318350842217,-94.3406692127019,0.999785742968347,3,2351.41999999998,"troot(x4*(x4*x7))","x10","x4",1,0.190016407213653,0.130760254892159
"S5",6,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389929996214539,0.0605084624883091,-96.7669448270559,0.999876293115,2,2219.57199999999,"troot(x4*x4)","x4*x2",NA,1,0.986258704745808,NA
"S6",6,FALSE,FALSE,FALSE,TRUE,2,0.665759877520625,0.498640355570775,0.0438498823701763,0.076981730997038,-94.3406692127019,0.999799766388508,3,2183.12100000004,"troot(x4*(x4*x7))","x10","x4",1,0.188993916113206,0.130221179230152
"S1",7,FALSE,FALSE,FALSE,FALSE,4,0.551592656175278,0.551592656175278,0.038844616877395,0.0602478321816294,-96.7669448270558,0.999877356514201,4,2297.90999999997,"troot(x4*x4)","x4*x2","x10",1,0.980071182100619,0.185785907051642
"S2",7,FALSE,FALSE,FALSE,FALSE,4,0.715723221996778,0.715723221996778,0.0954216353227293,0.344285715435645,-99.5125191073178,0.995995026526842,4,2321.35999999999,"x4","x4*troot(x4)","x4*x10",1,1,0.999999999999998
"S3",7,FALSE,FALSE,FALSE,TRUE,2,0.665759877520625,0.498640355570775,0.0446945441262537,0.0798519919924261,-94.3406692127019,0.999784556624445,3,2125.30299999996,"troot((x4*x7)*x4)","x10","x4",0.999999999990554,0.200616713262616,0.149907431295443
"S4",7,TRUE,FALSE,FALSE,FALSE,2,0.64273487381808,0.46410231072712,0.0318148283674999,0.0331456180532752,-94.5244319535552,0.999962879494736,3,2286.99700000003,"troot((x4*x4)*x6)","x7","x4",1,0.110433166109303,0.100034207066652
"S5",7,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0933790796272689,0.343558479112399,-99.5125191073178,0.996011928105639,3,2252.73199999996,"x4","troot(x4)*x4","x4*x10",1,0.999999902384038,0.976195339479595
"S6",7,FALSE,FALSE,FALSE,TRUE,2,0.639125155659457,0.458688272779023,0.0438539300491622,0.0769967713743867,-94.3406692127019,0.999799688139208,3,2385.91599999997,"troot(x7*(x4*x4))","x4","x6",0.999999999988666,0.14230742407724,0.118912724452432
"S1",8,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0315554994854514,0.032838431580655,-94.5244319535552,0.999963564356136,2,2212.47400000005,"troot((x6*x4)*x4)","x6",NA,1,0.105271748604686,NA
"S2",8,FALSE,FALSE,FALSE,FALSE,3,0.404503775670354,0.404503775670354,0.038968873807644,0.0612102565931071,-96.7669448270558,0.999873406899698,3,2310.12799999997,"x4*x2","troot(x4*x4)","x10",0.999945486057378,0.999540963760531,0.172631160234094
"S3",8,TRUE,FALSE,FALSE,FALSE,1,0.462258623933997,-0.075482752132005,0.0313262316197986,0.0327933200164718,-94.5244319535552,0.999963664393794,2,2218.908,"troot((x4*x4)*x6)","x6",NA,1,0.103649567002142,NA
