"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S1",10,0.764920262574322,1.50056210927572,2.07692204221714,2796.185,"x4","x5","x5*x5","x4*x5","x6"
"S2",10,0.764490443183621,1.50048149349447,2.07846448483871,3811.248,"x4","x5","x5*x5","x4*x5","troot(x4)"
"S3",10,0.765481940834815,1.49844549495914,2.07466013142887,3706.172,"troot(x7)","x6","x5","x4","exp_dbl(x5)"
"S4",10,0.762329758337185,1.50695325827993,2.08677626517109,3223.867,"p0(x7)","x6","x5","x9","x8"
"S5",10,0.773755571747061,1.48424252977471,2.04333385096056,3378.842,"exp_dbl(x4)","x6","x7","x9","x8"
"S6",10,0.762599377034673,1.50321803631346,2.08474137088005,3302.379,"x7","x5","x5*x5","x4","x7*x5"
"S1",11,0.774057545763362,1.48390450522957,2.04212363215475,3347.297,"exp_dbl(x4)","x4","x8","x9","x5*p0(x4)"
"S2",11,0.770556783058893,1.48958265870036,2.0562883680328,3658.272,"exp_dbl(x5)","troot(x7)","x5","x5*x4","x6"
"S3",11,0.764936998814961,1.50056409597961,2.07685853357077,3541.44,"x4*x5","x4","troot(x7)","x6","x5*x5"
"S4",11,0.752603165594187,1.52712501423835,2.12379014480986,3049.816,"p3(x5)","x4*x7","x4","x5","x6"
"S5",11,0.752991578385287,1.5227111392802,2.12181229707215,3667.985,"x5","x7","x9","exp_dbl(x4)","x6"
"S6",11,0.75657509516036,1.51183562079121,2.10857432201077,3508.643,"x4","exp_dbl(x5)","x4*p0(x4)","x6","x9"
"S1",12,0.765527819518281,1.4999816655811,2.07462134402551,3405.557,"x5","x4*x5","x4","x7","x6"
"S2",12,0.751144713220514,1.5240154502546,2.12970694084197,3868.398,"troot(x5)","x6","troot(x4)","x9","x8"
"S3",12,0.76518861543897,1.49905370918971,2.07573744240783,3545.146,"x5","exp_dbl(x5)","troot(x7)","exp_dbl(x5)*x4","x6"
"S4",12,0.762889986501589,1.5016955734098,2.0840106475277,3631.914,"exp_dbl(x5)","x7","troot(x4)","x6","x4"
"S5",12,0.768414887983441,1.50907853748672,2.06442161950287,3570.763,"x4","x5","x4*x5","exp_dbl(x5)*x5","x6"
"S6",12,0.753017426628998,1.5226703968408,2.12171034623622,3664.386,"x7","exp_dbl(x4)","x6","x9","x5"
"S1",13,0.754841577986386,1.51770578365113,2.11518842507136,2693.004,"exp_dbl(x5)","exp_dbl(x4)","x5","x6","x7"
"S2",13,0.773558013355793,1.48227285740812,2.04505260045209,3707.577,"exp_dbl(x5)","x6","x4","x5*exp_dbl(x4)","x9"
"S3",13,0.76515290761482,1.50018802736546,2.07606575856448,3505.226,"sin_deg(x5)*x5","x4","x5","x8","x9"
"S4",13,0.751716952821864,1.51686046376891,2.12785483626883,3869.403,"x4","x7*x5","x7*troot(x5)","x7","x9"
"S5",13,0.762157115877964,1.51101323675146,2.08739383618556,3496.648,"x4","troot(x7)","x9","x8","x5"
"S6",13,0.754827017881688,1.51778860709049,2.11524200363604,3603.445,"exp_dbl(x4)","exp_dbl(x5)","x7","x6","x5"
"S1",14,0.767358690751454,1.51610940749252,2.06810140106579,3636.79,"x4","exp_dbl(x5)","x5","x7","x6"
"S2",14,0.754826498450095,1.51780048594803,2.11524380053616,4043.839,"exp_dbl(x4)","x7","exp_dbl(x5)","x6","x5"
"S3",14,0.76512338462025,1.49908517006122,2.07598499449975,3774.517,"x5","x4*exp_dbl(x5)","exp_dbl(x5)","troot(x7)","x4"
"S4",14,0.764539470573871,1.49973894208591,2.07823770197789,3628.806,"x5*x5","x5","x4","x6","x7"
"S5",14,0.764909720794333,1.50054332808449,2.07696087004766,3810.64,"x4","x4*x5","x5*x5","x5","troot(x7)"
"S6",14,0.76905522930251,1.5143513030934,2.06148831798836,3857.836,"x4*p0(x5)","x7","x5","exp_dbl(x5)","x6"
"S1",15,0.764936881946453,1.50056555796944,2.07685897965957,2941.333,"x4","x5","x5*x4","troot(x7)","x5*x5"
"S2",15,0.762099863196022,1.51003958912742,2.08738579281495,3713.544,"x7","exp_dbl(x5)","x6","x5","x9"
"S3",15,0.764936966468217,1.50056410348971,2.07685865076558,3454.168,"troot(x7)","x4","x5","x5*x4","x6"
"S4",15,0.761727725090622,1.52664239238754,2.08910254975847,2874.124,"x5*x5","x5","x6","x4","troot(x7)"
"S5",15,0.76493709405346,1.50057172046661,2.07685827735877,3451.986,"x5","x4","x5*x5","troot(x7)","x6"
"S6",15,0.76518287819683,1.49905700574688,2.07576029079668,3485.281,"x5","exp_dbl(x5)","x4*exp_dbl(x5)","x6","x9"
"S1",16,0.774884920200761,1.47889681948291,2.0398460306985,3048.229,"x5*exp_dbl(x4)","x4","exp_dbl(x5)","x5","x7"
"S2",16,0.767108913140566,1.4990936357887,2.06872043531386,3636.74,"exp_dbl(x5)*x4","x5","exp_dbl(x5)","x6","x7"
"S3",16,0.768752850786621,1.49397363854093,2.06298890776814,3509.795,"x5","exp_dbl(x5)","p0(x7)","x6","x9"
"S4",16,0.757852894979689,1.51190190053633,2.10372922625695,3706.805,"x7","x4","x5","x7*x5","x5*x5"
"S5",16,0.757264746858724,1.51304160032043,2.105994751523,3359.659,"x6","troot(x7)","x4","x9","exp_dbl(x4)"
"S6",16,0.754950524232784,1.51747571594315,2.11480744778569,3583.573,"x5","exp_dbl(x4)","x6","exp_dbl(x5)","x7"
"S1",17,0.770429207469784,1.49076232194931,2.05624854697294,3887.762,"x5","exp_dbl(x5)","x4","x7","x6"
"S2",17,0.754826317461371,1.51779198253774,2.11524460020335,3467.785,"exp_dbl(x5)","exp_dbl(x4)","x6","x7","x5"
"S3",17,0.764936966473586,1.50056410347835,2.0768586507446,3547.932,"x5","x4","x5*x5","troot(x7)","x6"
"S4",17,0.754834295783864,1.51774886504007,2.11521391701021,3772.496,"sin_deg(x7)","exp_dbl(x4)","exp_dbl(x5)","x5","x9"
"S5",17,0.764534901427343,1.50035427209063,2.07817019821517,3287.062,"x5","x6","x4*exp_dbl(x5)","exp_dbl(x5)","x9"
"S6",17,0.751571908421314,1.53845925844074,2.12741966996226,3820.358,"exp_dbl(x4)","x7","exp_dbl(x5)","x6","x5"
"S1",18,0.764694700735547,1.50147276447467,2.07785401624205,3123.681,"x5*x5","x4","x5","x5*x4","p0(x7)"
"S2",18,0.764939079138399,1.50057092546656,2.07685093165443,4178.892,"x4","x5","troot(x7)","x5*sin_deg(x5)","x5*x4"
"S3",18,0.764936965801203,1.50056410341623,2.07685865338344,3769.15,"x4*x5","x4","x6","x8","x9"
